ADC: 60563, Temperature: 21.37
ADC: 60766, Temperature: 21.31
ADC: 60963, Temperature: 21.31
ADC: 60707, Temperature: 21.31
ADC: 60309, Temperature: 21.31
ADC: 60090, Temperature: 21.31
ADC: 60137, Temperature: 21.37
ADC: 60108, Temperature: 21.37
ADC: 60269, Temperature: 21.37
ADC: 60886, Temperature: 21.37
ADC: 61338, Temperature: 21.44
ADC: 62504, Temperature: 21.44
ADC: 63748, Temperature: 21.50
ADC: 59689, Temperature: 21.62
ADC: 59720, Temperature: 21.62
ADC: 59255, Temperature: 21.62
ADC: 59157, Temperature: 21.56
ADC: 59178, Temperature: 21.56
ADC: 59014, Temperature: 21.62
ADC: 59042, Temperature: 21.62
ADC: 58905, Temperature: 21.62
ADC: 58845, Temperature: 21.62
ADC: 58528, Temperature: 21.62
ADC: 58095, Temperature: 21.62
ADC: 58306, Temperature: 21.56
ADC: 58559, Temperature: 21.56
ADC: 58635, Temperature: 21.62
ADC: 58687, Temperature: 21.62
ADC: 58633, Temperature: 21.56
ADC: 60261, Temperature: 21.56
ADC: 60245, Temperature: 21.50
ADC: 60054, Temperature: 21.50
ADC: 60013, Temperature: 21.56
ADC: 59720, Temperature: 21.56
ADC: 66225, Temperature: 22.25
